Name;Kategorie;Art;Attribute für die Handlung;Limit;Benötigte Marken;Attribute für die Verteidigung;Erläuterung
Digitalverteidigung;Matrixhandlung;Komplexe Handlung;Computer + Intuition;Datenverarbeitung;Keine;ohne;Statt eines Angriffs lässt der Hacker Software zur Identifizierung von Bedrohungen laufen, wodurch Verbündete einen Vorteil bei der Verteidigung erhalten. Mit dieser Handlung kann der Hacker allen Verbündeten, die Zugang zu seiner AR-Übertragung haben, einen Würfelpoolbonus bei Verteidigungsproben verleihen. Die Anzahl der Bonuswürfel ist gleich der Anzahl der Erfolge bei einer Probe auf Computer + 38 Ihr wollt also Hacker sein Intuition [Datenverarbeitung]. Der Bonus bleibt bis zum Beginn des nächsten Initiativedurchgangs des Hackers bestehen. Der Hacker kann die AR-Übertragung maximal an eine Anzahl von Usern gleich der Höhe seines Attributs Datenverarbeitung übermitteln. Wenn er diese Handlung als Unterbrechungshandlung durchführt, sinkt sein Initiativeergebnis um 5.
Eiliges Hacken;Matrixhandlung;Komplexe Handlung;Hacking + Logik;Schleicher;Keine;Intuition + Firewall / Gerätestufe x 2;Der Charakter kann mit dieser Handlung uneingeladen eine Marke auf einem Ziel platzieren. Diese Handlung wird von Hackern genutzt, die das Attribut Schleicher dem Attribut Angriff vorziehen (und ist mit Brute Force verwandt). Wenn das Ziel ein Icon ist, platziert der Charakter, wenn er gewinnt, 1 bis maximal 3 Marken darauf. Außerdem zählen je 2 volle Nettoerfolge als 1 Erfolg bei einer Matrixwahrnehmungsprobe, sodass der Charakter auch noch ein paar Informationen über das Ziel seiner Marke erhält. Vor dem Würfeln kann der Charakter ansagen, dass er mehr als eine Marke auf einmal platzieren will. Wenn er 2 Marken gleichzeitig platzieren will, erhält er einen Würfelpoolmodi-  kator von -4 auf die Probe. Wenn er es mit 3 Marken auf einmal versucht, beträgt der Malus -10. Ein Charakter kann mit dieser Handlung auch in ein Gitter wechseln, zu dem er keinen legalen Zugang hat. Der Verteidigungspool dagegen beträgt 4 für ein lokales Gitter und 6 für ein globales Gitter. Wenn dem Charakter die Probe gelingt, platziert er keine Marke auf dem Gitter, sondern springt sofort in das entsprechende Gitter. Ein misslungener Gitterwechsel mittels Eiligem Hacken alarmiert das Gitter oder seinen Halbgott nicht in der Weise, wie das bei den meisten misslungenen Schleicherhandlungen geschieht (s. Das Bemerken von Hackern, S. 232).
Ersticken;Matrixhandlung;Einfache Handlung;Elektronische Kriegsführung + Logik;Angriff;Keine;Intuition + Schleicher;Warum geht mein Kommlink nicht? Und wo kommt dieses Rauschen her? Eine erfolgreiche Ersticken-Probe verhindert für [Nettoerfolge] Minuten, dass das Ziel Anrufe tätigt oder Nachrichten abschickt.
Gerät formatieren;Matrixhandlung;Komplexe Handlung;Computer + Logik;Schleicher;3;Firewall + Willenskraft;Der Charakter schreibt den Bootsektor des Geräts um. Beim nächsten Neustart schaltet sich das Gerät einfach dauerhaft aus. Das kann durch das Ersetzen der Software wieder behoben werden, wozu eine Ausgedehnte Probe auf Software + Logik [Geistig] (12, 1 Stunde) nötig ist. Ein Gerät, das sich auf diese Weise ausgeschaltet hat, verliert alle seine WiFi-Vorteile, kann aber weiter als normaler Mechanismus benutzt werden (eine Tür mit Klinke kann geöffnet werden, eine Waffe mit Abzug kann abgefeuert werden usw.). Außerdem ist es nicht mehr über die Matrix erreichbar.
Gerät markieren;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Logik;Datenverarbeitung;Keine;Firewall + Willenskraft;Der Charakter wählt ein Gerät mit aktiver WiFi-Funktion aus, das er in der Matrix entdeckt hat. Er kann dieses Gerät als Ziel markieren und die Zieldaten an ein Pilotprogramm oder an eine Person mit einer Sensorstufe oder einem Smartlink schicken. Das Pilotprogramm und/oder die Geräte der Person müssen als Slaves der Riggerkonsole des Charakters eingerichtet sein. Bis zum Ende der Kampfrunde erhalten diese Slaves beim Angriff auf das markierte Gerät einen Würfelpoolbonus in Höhe der Nettoerfolge des Charakters bei dieser Matrixhandlung. Die Rauschunterdrückung seiner Riggerkonsole wird bei dieser Handlung als Würfelpoolbonus addiert.
Gerät neu starten;Matrixhandlung;Komplexe Handlung;Computer + Logik;Datenverarbeitung;3;Firewall + Willenskraft;Das Zielgerät dieser Handlung schaltet sich ab und startet sofort neu. Es ist am Ende der nächsten Kampfrunde wieder online. Das Gerät stellt seine elektronischen Funktionen ein und verschwindet aus der Matrix, bis es neu gestartet ist. Wenn der Charakter das Gerät, auf dem seine Persona läuft, neu startet, wird sein Betriebssystem zurückgesetzt, alle seine Marken verschwinden, und alle Marken von anderen Personas auf seinem Icon verschwinden. Wenn er sich in der VR be ndet, während er den Neustart durchführt, erleidet er Auswurfschock (S. 226). Wenn er wieder online ist, kann sein Icon auf jedem Gitter erscheinen, zu dem er eine Zugangsberechtigung hat – oder auf dem öffentlichen Gitter, wenn er keine Zugangsberechtigungen hat. Wenn der Charakter diese Handlung durchführt, kann er zwischen dem Abschalten und dem Neustart eine beliebige Verzögerung einrichten. Wer physischen Zugang zu dem Gerät hat, kann diese Verzögerung zunichtemachen, indem er den Netzschalter drückt, was das Gerät zum Starten zwingt. Dann ist das Gerät am Ende der nächsten Kampfrunde wieder online. Diese Handlung funktioniert nur bei Geräten. Sie funktioniert nicht bei Hosts, Lebewesen (wie Technomancern, die sich allerdings selbst „neu starten“ können, siehe S. 249) oder Resonanzkonstrukten (wie etwa Sprites). Die einzige Persona, bei der diese Handlung funktioniert, ist die des Charakters. Wenn der Charakter der Besitzer des Geräts ist, das er neu startet, muss er keine Probe ablegen. Er kann diese Handlung nicht mit einem Gerät durchführen, das mit einer Linksperre (S. 226) belegt ist.
Gerät steuern;Matrixhandlung;Variabel;Elektronische Kriegsführung + Intuition;Schleicher;s. Beschreibung;Firewall + Intuition (oder Erfolgsprobe);Probe: (je nach Handlung) [Datenverarbeitung (oder speziell)] gegen (je nach Handlung) oder Elektronische Kriegsführung + Intuition [Schleicher] gegen Intuition + Firewall Mit seinem Kommlink oder Deck als Fernsteuerung führt der Charakter mit einem Gerät, über das er genügend Kontrolle hat, eine Handlung durch. Der Würfelpool der Proben wird dabei aus der passenden Fertigkeit + dem Attribut gebildet, die auch bei der normalen Benutzung des Geräts eingesetzt würden. Würde man zum Beispiel die montierte Waffe einer Drohne abfeuern, müsste man mit Geschütze + Logik würfeln, bei einem ferngesteuerten Unterwasserschweißgerät hingegen mit Seefahrtmechanik + Logik. Alle Handlungen, die der Charakter mit Gerät Steuern durchführt, nutzen entweder das normale Limit oder sein Attribut Datenverarbeitung, je nachdem, welches niedriger ist. Wenn es zu der Handlung, die der Charakter durchführen will, keine Probe gibt (wie etwa beim Aufsperren eines Magschlosses oder dem Auswerfen eines Ladestreifens) muss ihm eine Vergleichende Probe auf Elektronische Kriegsführung + Intuition [Schleicher] gegen Intuition + Firewall gelingen. Man kann mit dieser Handlung mehrere Geräte gleichzeitig steuern. Wenn man der Besitzer aller gesteuerten Geräte ist und alle Geräte exakt dasselbe tun sollen, werden alle mit demselben Würfelpool und derselben Handlung bedient. Ansonsten wird der Würfelpool des Charakters auf alle Geräte aufgeteilt, die er mit einer einzigen Handlung steuern will. Die Art der Handlung (Frei, Einfach oder Komplex) ist dieselbe wie bei der normalen Benutzung des Geräts. Für eine Freie Handlung braucht man 1 Marke, für eine Einfache Handlung 2 Marken und für eine Komplexe Handlung 3 Marken auf dem Gerät. Diese Handlung ist eine Schleicherhandlung, sofern Schleicher als Limit verwendet wird, und unterliegt dann demselben Risiko eines Overwatch-Werts und denselben Konsequenzen beim Misslingen wie alle Schleicherhandlungen.
Gitterwechsel;Matrixhandlung;Komplexe Handlung;ohne;ohne;Keine;ohne;Der Charakter springt in ein anderes Gitter, zum Beispiel vom öffentlichen Gitter nach Emerald City, dem lokalen Gitter von Seattle. Um das durchzuführen, muss er eine Zugangsberechtigung für das Zielgitter haben. Wen er diese nicht hat, muss er mit Brute Force oder Eiligem Hacken das Gitter wechseln. Wenn er sich in einem Host be ndet, muss er diesen erst verlassen, bevor er das Gitter wechseln kann.
Host betreten/verlassen;Matrixhandlung;Komplexe Handlung;ohne;ohne;1;ohne;Der Charakter betritt einen Host, auf dem er eine Marke platziert hat, und sein Icon erscheint dort. Oder er verlässt den Host, in dem er sich be ndet. Zu dieser Handlung gibt es keine Probe: Ein Host lässt jeden rein, der eine Marke auf ihm hat, und jeder, der in einem Host ist, kann ihn verlassen. Der Host ist aber im Inneren vielleicht nicht mehr so freundlich, und einige IC-Arten können Personas in einem Host gefangen halten, bis sie ausbrechen können. Wenn der Charakter einen Host verlässt, kehrt er in das Gitter zurück, aus dem er ihn betreten hat.
Icon aufspüren / Datei aufspüren;Matrixhandlung;Komplexe Handlung;Computer + Intuition;Datenverarbeitung;2;Schleicher + Willenskraft;Der Charakter  ndet den physischen Aufenthaltsort eines Geräts oder einer Persona. Wenn er bei dieser Handlung Erfolg hat, kennt immer er den Aufenthaltsort des Ziels, solange er mindestens 1 Marke darauf hat. Zum ersten Durchführen der Handlung muss er allerdings 2 Marken auf dem Ziel haben. Diese Handlung funktioniert nur bei Hosts, die mit einem einzigen physischen Ort verbunden sind. Die meisten Hosts sind allerdings über mehrere Datenzentren verteilt, die ihrem Besitzer (oder dem Provider ihres Besitzers) gehören. IC-Programme sind auf ihren jeweiligen Host beschränkt, weswegen Icon Aufspüren bei ihnen denselben Beschränkungen wie bei Hosts unterliegt.
Icon verändern;Matrixhandlung;Komplexe Handlung;ohne;ohne;Besitzer;ohne;Der Charakter verändert das Icon des Ziels zu einem, von dem er eine Kopie hat oder das er selbst entworfen hat. Das Verändern eines Icons ändert nichts an den Ergebnissen einer Matrixwahrnehmung, kann aber Personas reinlegen, die nicht die Zeit haben, genau nachzusehen. Man kann natürlich auch sein eigenes Icon verändern.
In ein Gerät springen;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Logik;Datenverarbeitung;3;Firewall + Willenskraft;Mit dieser Handlung springt ein Charakter in ein Gerät mit Riggerinterface (meist ein Fahrzeug oder eine Drohne). Es gibt allerdings einige Voraussetzungen, die dafür erfüllt sein müssen: Der Charakter muss 3 Marken auf dem Gerät haben, er muss sich in der VR be nden, das Gerät muss ein Riggerinterface haben, und der Charakter muss eine Riggerkontrolle haben. Wenn der Charakter der Besitzer des Geräts ist oder der Besitzer ihm das Hineinspringen erlaubt hat, ist dafür keine Probe nötig. In der Matrix wird das Icon des Geräts, in das der Charakter hineingesprungen ist, zum Teil seiner Persona. Wenn bereits jemand anderer in das Gerät hineingesprungen ist, kann der Charakter diese Handlung nicht durchführen, bis der andere das Gerät verlässt.
Infrastruktur Unterwandern;Matrixhandlung;Komplexe Handlung;Elektronische Kriegsführung + Intuition;Schleicher;1;Firewall + Intuition;Manchmal braucht man einfach eine grüne Welle. Und eine rote für den Feind. Und gratis Soy-Drinks auf der ganzen Strecke. Mit dieser Handlung kann ein Decker oder Technomancer die Funktion mehrerer physischer Geräte leicht verändern, sodass sie auf seine Befehle hören. Wenn der Hacker mindestens eine Marke auf dem Host platziert hat, kann er mit einer erfolgreichen Vergleichenden Probe auf Elektronische Kriegsführung + Intuition [Schleicher] gegen Intuition + Firewall pro Nettoerfolg ein einfaches Gerät (Ampeln, Verkaufsautomaten, Haushaltsgeräte, Lampen usw. nach Maßgabe des Spielleiters) steuern, das Slave dieses Hosts ist. Diese Handlung kann nicht ausgeführt werden, um mit dem gesteuerten Gerät einen Angriff durchzuführen. Der Hacker kann die Kontrolle über diese Geräte aufrechterhalten, indem er pro Kampfrunde eine Komplexe Handlung aufwendet.
Intervention;Matrixhandlung;Unterbrechungshandlung;Computer + Intuition;Datenverarbeitung;Keine;ohne;"Verfolge die unsichtbaren Datenströme zwischen Geräten und warne deine Verbündeten gerade rechtzeitig, damit sie nicht schweren Schaden erleiden. Mit dieser Handlung kann der Hacker dem Besitzer eines Gerätes, das Slave in seinem PAN ist, einen sofortigen Würfelpoolbonus zur Verteidigung verleihen. Diese Handlung kann nur durchgeführt werden, wenn das angreifende Gerät seine WiFi-Funktion aktiviert hat und der Hacker den Angriff bemerkt. Wenn er diese Handlung durchführt, sinkt sein Initiativeergebnis um 5. Der Hacker legt eine Probe auf Computer + Intuition [Datenverarbeitung] ab und verleiht dem Verbündeten einen Würfelpoolbonus für Verteidigungsproben in Höhe der Anzahl der Erfolge. Dieser Bonus gilt nur für die gegenwärtige Verteidigungsprobe; er kann nicht in einer anderen Kampfrunde oder einem anderen Initiativedurchgang genutzt werden."
Kalibrierung;Matrixhandlung;Einfache Handlung;Elektronische Kriegsführung + Logik;Datenverarbeitung;s. Beschreibung;ohne;Der Charakter kann die momentanen Initiativeergebnisse einiger Personas erhöhen, auf denen er Marken platziert hat. Deren Initiativeergebnis steigt um 1 pro 2 volle Erfolge bei dieser Handlung. Die Anzahl der betroffenen Personas kann nicht höher sein als das Attribut Datenverarbeitung des Charakters. Das neue Initiativeergebnis wird wie üblich in jedem Initiativedurchgang angepasst.
Marke einladen;Matrixhandlung;Einfache Handlung;ohne;ohne;Besitzer;ohne;Wenn der Charakter der Besitzer eines Geräts, einer Datei oder Persona, eines Hosts oder eines IC ist, kann er andere Icons einladen, darauf eine Marke zu platzieren. Er kann bei dieser Einladung festlegen, wie viele Marken er zulassen will, wie lange diese bestehen bleiben und wie lange die Einladung gilt. Der Eingeladene kann seine Marke(n) dann mit einer Freien Handlung platzieren. Der Charakter kann diese Einladung jederzeit widerrufen, bevor die Marke platziert wurde. Wenn allerdings ein anderes Icon schon eine Marke platziert hat, muss er entweder die Handlung Marke Löschen durchführen oder das Gerät neu starten, um diese vor Ablauf ihres Bestehens loszuwerden.
Marke löschen;Matrixhandlung;Komplexe Handlung;Computer + Logik;Datenverarbeitung / Angriff;s. Beschreibung;Firewall + Willenskraft;Der Charakter löscht eine Marke, die auf seiner Persona oder einem anderen Icon platziert wurde. Um diese Handlung durchzuführen, muss er selbst 3 Marken auf dem Icon haben, von dem er eine Marke löschen will (oder dessen Besitzer sein). Er braucht aber keine Marke auf dem Icon, das die Marke platziert hat. Er kann versuchen, mit derselben Handlung 2 Marken zu löschen, was allerdings einen Malus von -4 ergibt. Mit einem Malus von -10 kann er 3 Marken auf einmal löschen. Wenn er mehr als eine Marke auf einmal löschen will, müssen all diese Marken vom selben Icon platziert worden sein. Der Charakter kann mit dieser Handlung nicht die Besitzrechte am Zielicon verändern. Nehmen wir an, ein IC hätte Sie und Ihren Kumpel markiert. IC verwendet die Attribute des Hosts, auf dem es läuft. Sie würfeln mit Computer + Logik [Angriff] gegen die Hoststufe (statt Willenskraft) + Firewall, um die Marke von Ihrem eigenen Icon zu löschen. Sie brauchen 3 Marken auf dem Icon Ihres Kumpels, um die Marken des IC davon zu löschen, aber er hat das nicht zugelassen, also ist er auf sich gestellt.
Maskerade;Matrixhandlung;Komplexe Handlung;Hacking + Intuition;Schleicher;2;Firewall + Logik;Du kannst vielleicht nicht die Persona von jemand anderem benutzen, aber du kannst es so gut vortäuschen, dass der Feind den Unterschied nicht erkennt. Soweit er sehen kann, bist du wirklich einer der Wuxing-Fünflinge. Mit dieser Handlung kann der Hacker eine Persona in der Matrix nachahmen. Weil die Daten einer Persona in Echtzeit aktualisiert werden, benötigt diese Handlung 2 Marken auf der Quelle (der Persona, die nachgeahmt werden soll) und 2 Marken auf dem Ziel (dem Icon, das getäuscht werden soll). Pro Nettoerfolg einer Vergleichenden Probe auf Hacking + Intuition [Schleicher] gegen Logik + Firewall des Ziels kann der Hacker dieses für eine Minute davon überzeugen, dass seine Persona die der Quelle ist. Das kann verwendet werden, um jemanden online zu verkörpern, dessen Anrufe abzufangen, statt seiner soziale Medien zu benutzen, seinen E-Mail-Verlauf zu durchforsten oder anderen kreativen Schabernack zu treiben. Vorgänge wie das Verändern des Besitzers eines Geräts oder das Durchführen größerer Finanztransaktionen (wie bei Bankgeschäften) sind allerdings zu stark gesichert, um sie mit Maskerade durchführen zu können. Wenn sich die verkörperte Persona ausloggt, gehen die Marken sofort verloren, und die Täuschung fliegt auf. Trotz der Maskerade gilt der Hacker regeltechnisch niemals als Besitzer der Geräte der verkörperten Persona.
Matrixsuche;Matrixhandlung;Variabel;Computer + Intuition;Datenverarbeitung;Keine;ohne;Der Charakter sucht in der Matrix nach Informationen zu einem Thema. Wie lange das dauert und welcher Schwellenwert für die Probe gilt, hängt von der Verfügbarkeit der entsprechenden Information und dem durchsuchten Bereich ab. Jeder Nettoerfolg kann genutzt werden, um die Suche zu beschleunigen. Dazu wird der Grundzeitraum durch die Anzahl der Nettoerfolge dividiert. Wenn die Probe misslingt, verbringt der Charakter trotzdem den vollen Grundzeitraum mit der Suche (auch wenn er nichts  ndet). Manche Informationen sind geschützt und geheim und liegen auf einem Host, der nicht öffentlich zugänglich ist. Das Auf nden solcher Informationen setzt meist voraus, dass der Charakter den Host  ndet und betritt, in dem die Daten versteckt sind. Dann kann er innerhalb des Hosts eine Matrixsuche mit einem Grundzeitraum von 1 Minute (unabhängig von der Art der gesuchten Information) durchführen. Das funktioniert aber nur, wenn auf diese Information wenigstens gelegentlich von den legalen Nutzern zugegriffen wird. Wenn sie sich in einem Archiv be ndet, muss der Charakter tiefer in den Host eindringen – ein gefährliches Unterfangen, das im bald erscheinenden Matrix-Quellenbuch weiter erklärt wird.
